"Title","Year","Rating","Runtime","Critic.Score","Box.Office","Awards","Distribution"
"Big Hero 6",2014,"PG",102,89,222.5,"Won Awards","Domestic"
"National Treasure: Book of Secrets",2007,"PG",124,35,219.9,"No Awards","Domestic"
"Alvin and the Chipmunks: The Squeakquel",2009,"PG",88,21,219.3,"Won Awards","Domestic"
"Ted",2012,"R",106,67,218.6,"Won Awards","Domestic"
"King Kong",2005,"PG-13",187,84,218.1,"Won Awards","International"
"The Da Vinci Code",2006,"PG-13",149,25,217.5,"Won Awards","International"
"How to Train Your Dragon",2010,"PG",98,98,217.4,"Won Awards","Domestic"
"Alvin and the Chipmunks",2007,"PG",92,27,217.2,"Won Awards","Domestic"
"Madagascar 3: Europe's Most Wanted",2012,"PG",93,79,216.4,"Won Awards","Domestic"
"Kung Fu Panda",2008,"PG",92,87,215.4,"Won Awards","Domestic"
"X-Men 2",2003,"PG-13",134,87,214.8,"Won Awards","International"
"The Lorax",2012,"PG",86,54,213.9,"Won Awards","Domestic"
